sample_id,n_frac,x1_m,T1_s,a_hat_m_s,a_hat_ok,Y0_m2_s,omega_star_rad_s,fracture_positions_m,mask_design,y_active,alpha_ss,Y_eq_m2_s,log10_Y_over_Y0,fracture_Q_ss_m3_s,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5
10,5,4524.13427734375,6.380338668823242,1418.1485595703125,1,0.0001060302893165499,0.9847729802131653,4524.1343|4557.976|4605.297|4647.471|4676.1665,1|1|1|1|1,1|1|1|1|0,0.045128122|0.71983737|0.055962894|0.17781743|0.0012541694,0.003903837|0.000419423|0.0031910986|0.0039617075|0.0,1.5660617|0.5972224|1.4785103|1.5724524|-6.0254297,0.00056201214|0.00896464|0.0006969452|0.002214485|1.561905e-05,0.008981665|0.0093458295|0.007113771|0.023054743|0.00044826773,8.240582e-05|0.0015|0.00010244803|0.0003262375|2.2948475e-06,167419.4|132620.3|158649.17|55189.926|96048520.0
11,4,4626.33544921875,6.538224697113037,1415.1656494140625,1,0.00010625379218254238,0.9609925746917725,4626.3354|4647.724|4663.8687|4678.4883,1|1|1|1,0|1|1|1,0.005266143|0.3186586|0.07092665|0.6051486,0.0|0.0032779716|0.0006508689|0.004805162,-6.0263443|1.4892608|0.7871492|1.6553637,6.5770066e-05|0.0039798003|0.0008858192|0.0075578396,0.00023478005|0.012609575|0.0026232272|0.02138228,2.6334858e-06|0.00015940888|3.546798e-05|0.00030279031,61837244.0|35277.332|62220.59|12967.547
12,1,4795.05517578125,6.993724822998047,1371.2449951171875,1,0.00010965707042487338,0.8984032869338989,4795.055,1,1,1.0,0.00038387466,0.5441529,0.022185441,0.012,0.0007834708,58632.844
13,3,4521.28857421875,6.449261665344238,1402.1104736328125,1,0.00010724313324317336,0.9742487668991089,4521.2886|4544.388|4569.567,1|1|1,1|1|1,0.43401155|0.2873949|0.27859354,0.0011771249|0.001010175|0.001039879,1.0404531|0.97402716|0.9866134,0.0067044655|0.0044395807|0.00430362,0.019203447|0.009451333|0.009007094,0.00014914053|9.874375e-05|9.571716e-05,63103.19|110129.01|110132.51
14,6,4802.87939453125,6.782721519470215,1416.2100830078125,1,0.00010617542284308001,0.9263516664505005,4802.8794|4847.308|4862.5923|4897.1675|4910.971|4950.0,1|1|1|1|1|1,1|1|0|0|1|1,0.055264354|0.12861551|0.035754617|0.02640147|0.091341786|0.6626223,0.0003730654|0.0003035548|0.0|0.0|0.0003465291|5.7803685e-05,0.5457611|0.45621324|-6.026024|-6.026024|0.5137158|-0.26406774,0.0012326447|0.0028687068|0.0007974895|0.000588872|0.0020373343|0.014779469,0.0076374137|0.01642714|0.004010085|0.0043344153|0.015091449|0.012,8.199136e-05|0.00019247032|5.30676e-05|3.9191727e-05|0.00013638199|0.0014936713,1084240.5|573944.8|1300796.5|1381116.6|707778.56|585232.7
15,5,4643.3662109375,6.385165214538574,1454.4232177734375,1,0.00010338580614188686,0.9840286374092102,4643.366|4689.301|4729.8022|4750.6235|4775.1914,1|1|1|1|1,1|1|1|1|1,0.48295072|0.11772154|0.19592367|0.041405916|0.16199815,0.00030583527|0.0017166359|0.0028792277|0.0016143708|0.0018958182,0.47102678|1.2202172|1.4448152|1.1935424|1.2633358,0.0075514726|0.0018407075|0.003063485|0.00064742763|0.0025330216,0.005|0.009520143|0.023751577|0.0033067605|0.016741384,0.0005|0.000118878444|0.00019787977|4.178214e-05|0.00016366747,215611.44|152720.0|55810.676|209378.92|102718.57
16,6,4777.9189453125,6.524141311645508,1464.68896484375,1,0.00010266119352309033,0.9630669951438904,4777.919|4819.171|4833.594|4883.4756|4928.6436|4950.0,1|1|1|1|1|1,0|1|1|0|0|1,0.0027574252|0.24017456|0.5050662|0.005122827|0.013988754|0.2328902,0.0|0.0059049106|0.009134041|0.0|0.0|0.0064940415,-6.0114064|1.759807|1.9492567|-6.0114064|-6.0114064|1.8011087,3.6960948e-05|0.0032193365|0.006769985|6.8667156e-05|0.0001875074|0.0031216957,0.00087952707|0.014206771|0.03272476|0.00023212103|0.0006036248|0.0149610415,1.5150874e-06|0.00013200846|0.00027764772|2.816039e-06|7.706693e-06|0.00012801413,90048190.0|19789.16|7336.8574|56246184.0|81500590.0|17669.121
17,4,4783.61669921875,6.485021114349365,1475.28173828125,1,0.0001019240589812398,0.9688766002655029,4783.6167|4823.0015|4840.723|4861.553,1|1|1|1,1|0|1|1,0.24155721|0.025028681|0.5669927|0.1664214,0.002812508|0.0|0.0032757747|0.0024085515,1.4408171|-6.008277|1.5070373|1.3734792,0.0055025425|0.0005701398|0.012915786|0.0037909893,0.011320583|0.0003468266|0.028141243|0.005686995,9.4451934e-05|9.8202445e-06|0.0002217569|6.507629e-05,30021.479|72928030.0|11644.539|40669.832
18,1,4696.61083984375,6.679940700531006,1406.183349609375,1,0.00010693250806070864,0.9406049251556396,4696.611,1,1,1.0,0.0006431309,0.7791897,0.015495586,0.011946412,9.49658e-05,50007.17
19,5,4749.5439453125,6.483450412750244,1465.12841796875,1,0.0001026303943945095,0.9691113233566284,4749.544|4779.878|4806.0396|4835.0063|4849.775,1|1|1|1|1,1|1|1|1|1,0.15228744|0.30288884|0.23379984|0.19849434|0.11252955,0.00025469912|0.00024813678|0.00018061457|0.00020329977|0.000264188,0.3947516|0.3834153|0.24547704|0.2968611|0.4106373,0.0023217653|0.0046178256|0.0035644986|0.003026233|0.0017156189,0.005642597|0.013180628|0.009481912|0.0066708107|0.0039645247,6.2036044e-05|0.00012360449|9.543212e-05|8.095153e-05|4.5823857e-05,843676.44|436190.56|776335.94|811892.1|1097900.9
20,3,4865.95703125,6.502429962158203,1496.6580810546875,1,0.00010046831448562443,0.9662826657295227,4865.957|4902.054|4924.7026,1|1|1,1|1|1,0.30794314|0.2382412|0.45381567,0.0024121439|0.0024856802|0.0026883122,1.3803741|1.3934162|1.4274507,0.0055905175|0.0043251216|0.008238744,0.007351348|0.006081413|0.011091368,8.646229e-05|6.689099e-05|0.00012743044,32145.418|35651.08|21051.39
21,4,4585.0732421875,6.223222732543945,1473.53662109375,1,0.00010204477439401671,1.009635329246521,4585.073|4628.5684|4658.334|4672.9683,1|1|1|1,1|1|0|1,0.64546824|0.056177158|0.011272037|0.28708255,4.2922125e-05|0.00046108474|0.0|0.0005629626,-0.37610856|0.6549901|-6.008791|0.74168885,0.013746223|0.0011963776|0.00024005509|0.0061138575,0.005|0.0023040017|0.0009963716|0.02840544,0.0005|3.9559593e-05|7.948944e-06|0.00020263396,847358.8|869219.3|65548076.0|145213.4
22,5,4710.6259765625,6.665078639984131,1413.5244140625,1,0.00010637715604389086,0.9427023530006409,4710.626|4746.2617|4756.6904|4775.0527|4806.0566,1|1|1|1|1,1|1|0|1|0,0.64576244|0.19725446|0.011582975|0.13297287|0.012427221,0.0054811914|0.0022337046|0.0|0.0025025432|0.0,1.7120266|1.3221774|-6.0268483|1.3715333|-6.0268483,0.009053135|0.0027653687|0.00016238516|0.001864186|0.00017422088,0.02549506|0.005221079|0.00059215806|0.005338011|0.0008748707,0.00034968383|0.000106790314|6.2780064e-06|7.197709e-05|6.7382985e-06,9520.948|57444.273|74664500.0|59124.33|82457460.0
23,3,4794.4912109375,6.604183197021484,1451.955810546875,1,0.00010356149141443893,0.95139479637146,4794.491|4835.0073|4847.3315,1|1|1,1|1|1,0.27964532|0.35549858|0.36485612,0.0013872585|0.0014477324|0.0015682088,1.1269592|1.14549|1.1802056,0.0045290953|0.005757604|0.0059091575,0.010976784|0.013125426|0.01377671,9.9883546e-05|0.00012699462|0.00013033472,78148.43|59166.457|53171.62
24,4,4658.35107421875,6.586044788360596,1414.6126708984375,1,0.00010629532334860414,0.9540149569511414,4658.351|4689.6074|4703.8066|4729.7485,1|1|1|1,1|1|0|1,0.20225507|0.13219863|0.014126657|0.65141964,0.0013422095|0.001433382|0.0|0.0016578725,1.1013062|1.1298479|-6.026514|1.193037,0.004470833|0.0029222406|0.00031226868|0.014399582,0.007840907|0.0040142587|0.00042241768|0.021569822,0.000104708946|6.843328e-05|7.3273013e-06|0.00033756325,80544.805|99249.54|81688490.0|20807.287
25,6,4523.68896484375,6.451621055603027,1402.341796875,1,0.00010722543811425567,0.9738924503326416,4523.689|4564.1465|4610.2793|4649.1074|4697.6357|4738.916,1|1|1|1|1|1,1|1|1|1|0|1,0.1202115|0.2648572|0.33559078|0.12156287|0.002197212|0.15558043,0.00011069045|9.571333e-05|0.00011495449|9.087107e-05|0.0|9.5814285e-05,0.013812729|-0.04932494|0.03022848|-0.07187169|-6.0302978|-0.04886713,0.0025920838|0.005711035|0.0072362414|0.002621223|4.737781e-05|0.0033547333,0.00966502|0.021033896|0.030555524|0.005895514|0.0008580665|0.011938137,7.322145e-05|0.00016254457|0.00020611833|7.4153904e-05|1.3327366e-06|9.5023956e-05,1742409.2|914688.1|601069.06|2098603.0|68635120.0|1555434.9
26,6,4744.29052734375,6.717768669128418,1412.4603271484375,1,0.0001064573007170111,0.9353083968162537,4744.2905|4782.821|4823.7695|4868.3877|4907.9653|4950.0,1|1|1|1|1|1,1|0|1|0|1|1,0.19377089|0.008155839|0.580531|0.030209946|0.11444187|0.07289046,0.0022224055|0.0|0.0045471042|0.0|0.0020257845|0.0017541826,1.3196479|-6.0271754|1.6305594|-6.0271754|1.2794178|1.2168994,0.0024778799|0.00010429424|0.007423644|0.00038631508|0.0014634458|0.00093209976,0.008866335|0.00090924604|0.045534845|0.00084594527|0.0045443946|0.0038600827,6.386582e-05|2.688343e-06|0.00019138081|9.98869e-06|3.7720652e-05|2.4024035e-05,83721.71|54240580.0|14641.238|64818104.0|109809.305|116798.0
27,1,4532.34765625,6.884920597076416,1316.601318359375,1,0.00011420824012020603,0.9126009345054626,4532.3477,1,1,1.0,0.00013721046,0.07969012,0.022083048,0.007700627,0.0006509789,164947.8
28,2,4892.28564453125,6.865968704223633,1425.0823974609375,1,0.00010551439481787384,0.915120005607605,4892.2856|4927.667,1|1,1|1,0.3817744|0.6182256,0.0007598384|0.00087595935,0.8574096|0.9191723,0.0060876557|0.009858033,0.006833199|0.014159664,8.2738625e-05|0.00013400482,106471.8|57636.195
29,6,4634.8134765625,6.219307899475098,1490.4595947265625,1,0.00010088614362757653,1.0102708339691162,4634.8135|4665.995|4705.688|4739.318|4775.455|4797.4307,1|1|1|1|1|1,1|1|1|1|1|0,0.29174608|0.115646675|0.25096276|0.07661674|0.25444028|0.010587482,0.0011308799|0.001028946|0.0008150787|0.0011032651|0.0016520818|0.0,1.049585|1.0085611|0.90736806|1.0388484|1.2142001|-6.0038314,0.0043330505|0.0017175995|0.0037273315|0.0011379218|0.00377898|0.00015724666,0.016779521|0.0039071|0.009082193|0.0024297293|0.01587462|0.00025242436,0.00014040394|5.56263e-05|0.00012081666|3.6848265e-05|0.00012242168|5.0960607e-06,101580.44|262152.06|163266.0|286341.0|79227.24|75804390.0
30,5,4553.26806640625,6.45410680770874,1410.9676513671875,1,0.00010656991798896343,0.9735173583030701,4553.268|4565.3066|4579.7705|4605.151|4617.572,1|1|1|1|1,1|0|1|1|1,0.1723197|0.011152562|0.21664509|0.09692678|0.50295585,0.0006327308|0.0|0.0006532023|0.0009778012|0.00083921826,0.7735844|-6.0276346|0.7874131|0.96261597|0.89624035,0.003403929|0.0002203029|0.004279514|0.0019146499|0.009935173,0.006566646|0.0003939863|0.011822493|0.0053781075|0.024669493,8.214369e-05|5.3187705e-06|0.00010330008|4.6187088e-05|0.000240017,229850.47|84162920.0|178286.94|257402.97|59894.44
31,2,4664.650390625,6.9474382400512695,1342.8404541015625,1,0.00011197660205652937,0.9043887853622437,4664.6504|4676.5454,1|1,1|1,0.21592735|0.78407264,0.0006031143|4.808349e-05,0.73127246|-0.36713043,0.0029679646|0.010777235,0.02619104|0.005,0.00012385414|0.0005,279144.2|964729.9
32,2,4730.0732421875,6.8969645500183105,1371.63916015625,1,0.00010962555825244635,0.9110073447227478,4730.073|4764.8384,1|1,1|1,0.7705824|0.22941764,5.242078e-05|7.073373e-05,-0.32040754|-0.19028465,0.015839765|0.004715812,0.015788537|0.00452061,0.00019358216|5.7133155e-05,602160.0|1498504.9
33,2,4857.6318359375,6.812933444976807,1426.0030517578125,1,0.00010544627730268985,0.9222437739372253,4857.632|4876.2856,1|1,0|1,0.022239564|0.97776043,0.0|0.00020676469,-6.023031|0.2924453,0.00034850292|0.015321899,0.0019640452|0.012,2.293396e-05|0.0011007118,526845.06|157761.27
34,5,4629.978515625,6.586277008056641,1405.9471435546875,1,0.00010695047967601568,0.953981339931488,4629.9785|4646.8965|4677.188|4726.859|4737.0195,1|1|1|1|1,1|1|1|1|1,0.21435246|0.260376|0.10969723|0.117714435|0.29785985,0.0009882586|0.00083290844|0.0011544802|0.0012185188|0.0009813992,0.96568793|0.8914146|1.0332038|1.0566496|0.96266305,0.0026665905|0.0032391334|0.0013646571|0.0014643929|0.0037054406,0.012169736|0.01642186|0.006936743|0.0076900325|0.020505972,9.477605e-05|0.0001151739|4.8482983e-05|5.2028598e-05|0.00013175966,188345.83|184802.6|307385.9|272245.47|137146.47
35,4,4553.982421875,6.106616020202637,1491.4913330078125,1,0.00010081635264214128,1.028914451599121,4553.9824|4586.66|4626.997|4676.3335,1|1|1|1,1|0|1|0,0.16996463|0.0067109764|0.799929|0.023395363,0.010287933|0.0|0.0019813578|0.0,2.0087972|-6.003531|1.293432|-6.003531,0.002848763|0.00011248212|0.013407544|0.00039212775,0.020250292|0.00088718627|0.01075241|0.0025516045,0.00023260074|9.213245e-06|0.0011087133|3.2070613e-05,9869.539|60607372.0|18183.309|40628.832
36,5,4505.390625,6.027185440063477,1495.0230712890625,1,0.00010057818872155622,1.0424741506576538,4505.3906|4545.059|4584.3047|4625.623|4658.4204,1|1|1|1|1,1|1|1|1|1,0.105851024|0.2894575|0.23964395|0.2447509|0.12029664,0.00012372865|9.164963e-05|0.000114212016|0.00010436213|0.00012069459,0.0899668|-0.040372636|0.055208378|0.016039534|0.079184346,0.0023246505|0.0063569294|0.0052629476|0.005375104|0.0026418983,0.0048751165|0.011133914|0.011876733|0.01260295|0.00496981,6.9811824e-05|0.00019317697|0.00015910037|0.00016270079|7.9431695e-05,1737329.8|858151.5|831747.3|891275.9|1567212.5
37,5,4824.32763671875,6.570333480834961,1468.518310546875,1,0.00010239348921459168,0.9562962055206299,4824.3276|4840.8423|4878.225|4901.804|4950.0,1|1|1|1|1,1|0|1|1|1,0.4195278|0.021235604|0.07691694|0.13442554|0.3478941,0.0008104409|0.0|0.0011261794|0.0008140657|0.0007670492,0.89844906|-6.0102725|1.0413352|0.90038717|0.87455094,0.005589677|0.00028293754|0.0010248208|0.0017910501|0.004635249,0.022499122|0.00058519305|0.003576975|0.0061991075|0.01884377,0.00018997412|9.633991e-06|3.4771692e-05|6.079474e-05|0.00015751716,110215.32|82625960.0|379614.78|336326.3|140372.47
38,6,4744.26416015625,6.7009992599487305,1415.987060546875,1,0.00010619215026963502,0.9376490116119385,4744.264|4790.3296|4839.7124|4889.0073|4937.127|4950.0,1|1|1|1|1|1,1|1|1|1|1|1,0.15017259|0.26667058|0.2586968|0.10100523|0.15458883|0.06886597,0.00016269981|0.00014740611|0.00014815932|0.00017565461|0.00016120588|0.00022358683,0.18529491|0.14242336|0.14463685|0.21856737|0.18128873|0.32335398,0.0023320457|0.0041411556|0.0040173293|0.0015685207|0.002400626|0.0010694268,0.013615314|0.018450506|0.016890861|0.0069326004|0.0147530055|0.005359385,0.000100191595|0.00017911296|0.00017370457|6.7255016e-05|0.00010321997|4.5768793e-05,1317572.1|819031.5|839971.6|1813427.2|1291828.4|2086924.1
39,1,4828.70703125,7.038256645202637,1372.131591796875,1,0.00010958621714962646,0.8927189707756042,4828.707,1,1,1.0,7.956779e-05,-0.13901807,0.015100709,0.013719223,0.00010344045,416118.4
40,2,4803.63330078125,6.824901580810547,1407.678466796875,1,0.00010681893036235124,0.9206265211105347,4803.6333|4842.0435,1|1,1|1,0.3972448|0.6027552,0.0005128788|0.00048010648,0.6813666|0.65268946,0.008598802|0.0130473,0.009639808|0.015838142,8.603498e-05|0.00013058013,112994.76|79733.26
41,4,4686.94677734375,6.6209611892700195,1415.7904052734375,1,0.00010620689863571897,0.9489838480949402,4686.947|4717.6533|4747.278|4778.4673,1|1|1|1,1|1|0|0,0.36446923|0.6166249|0.012363103|0.0065427897,0.0031106747|0.00033996225|0.0|0.0,1.4667019|0.5052781|-6.0261526|-6.0261526,0.006168634|0.0104363635|0.00020924526|0.000110736575,0.027102904|0.005|0.00034979117|0.0007932917,0.00029075655|0.0005|9.897435e-06|5.218834e-06,25669.393|140173.02|90915390.0|57643856.0
42,5,4586.76171875,6.297175884246826,1456.7679443359375,1,0.00010321940499125049,0.9977782964706421,4586.7617|4610.4175|4622.422|4646.1177|4687.896,1|1|1|1|1,1|1|1|1|1,0.34322283|0.098305345|0.14093068|0.13679413|0.28074703,0.00045998517|0.0004969272|0.00046808002|0.00044555886|0.00036831608,0.6489826|0.6825315|0.6565589|0.6351438|0.5524594,0.0065019084|0.0018622663|0.0026697477|0.002591386|0.0053183855,0.021939516|0.0044173673|0.008194031|0.008698383|0.013888227,0.00021727741|6.205695e-05|8.9016685e-05|8.640962e-05|0.00017777328,167105.95|533328.8|398790.3|431896.78|255070.31
43,4,4565.287109375,6.124228477478027,1490.8936767578125,1,0.00010085676331073046,1.025955319404602,4565.287|4588.9956|4606.085|4643.2085,1|1|1|1,1|1|1|1,0.32258877|0.12578624|0.403853|0.14777201,0.0013581822|0.0016622782|0.0016648659|0.0016924717,1.129253|1.2169987|1.2176743|1.2248164,0.0068839104|0.0026842263|0.008618055|0.0031533933,0.012124359|0.004237097|0.019408282|0.005226918,0.00014274231|5.563945e-05|0.00017871478|6.5368455e-05,52832.16|92123.2|34602.676|83170.26
44,3,4798.57421875,6.679895877838135,1436.72119140625,1,0.0001046596298692748,0.9406112432479858,4798.574|4813.6064|4827.2754,1|1|1,1|1|1,0.117619365|0.52670825|0.3556724,0.00030433736|0.00019161854|0.00015919525,0.4635762|0.26265857|0.18215117,0.002284659|0.010230873|0.0069086426,0.0028360975|0.014816604|0.008953113,3.2123924e-05|0.00014418401|9.7315664e-05,709615.44|254998.27|454455.38
45,5,4695.62744140625,6.531001091003418,1437.9501953125,1,0.00010457017924636602,0.9620554447174072,4695.6274|4716.9683|4753.958|4800.371|4818.4717,1|1|1|1|1,0|1|1|1|1,0.012049174|0.20548426|0.46268222|0.15857662|0.16120774,0.0|0.0013468582|0.001373761|0.0013486233|0.0013059023,-6.0194077|1.1099141|1.1185033|1.1104828|1.0965029,0.00021783188|0.0037148625|0.008364635|0.0028668393|0.0029144061,0.00068818196|0.015458656|0.03159195|0.010287408|0.009151215,4.995486e-06|8.5125735e-05|0.00019177445|6.569421e-05|6.6785164e-05,96796870.0|99105.15|43423.062|126874.11|128415.195
46,6,4736.2490234375,6.3814544677734375,1484.379150390625,1,0.00010129938891623169,0.984600841999054,4736.249|4779.982|4829.11|4868.9097|4909.4966|4950.0,1|1|1|1|1|1,1|1|1|1|1|1,0.31857735|0.15752958|0.16833468|0.24426162|0.0568298|0.054466985,0.0020495318|0.0021162925|0.001965339|0.0023421317|0.0019316797|0.001994184,1.3060478|1.3199688|1.2878307|1.3640045|1.2803283|1.2941583,0.0055493037|0.0027440102|0.0029322242|0.004254797|0.0009899192|0.0009487613,0.020605726|0.01068185|0.010101097|0.022500288|0.00392421|0.0040529687,0.00017196928|8.501595e-05|9.085883e-05|0.00013185621|3.066635e-05|2.9391205e-05,43508.05|82458.87|83228.89|49606.43|128792.086|127744.2
47,2,4708.42578125,6.615962505340576,1423.3531494140625,1,0.00010564258263912052,0.9497008323669434,4708.426|4724.584,1|1,1|1,0.95947355|0.040526457,0.00045628665|8.8258275e-06,0.63539886|-1.0780786,0.016117975|0.00068079465,0.015192433|0.00041650573,0.00021183286|8.963641e-06,67918.086|83172664.0
48,3,4556.6494140625,6.143282890319824,1483.45751953125,1,0.00010136233322555199,1.022773265838623,4556.6494|4599.9507|4617.005,1|1|1,1|1|1,0.3330382|0.22729883|0.43966296,0.00037965528|0.00038797315|0.00038844466,0.5735129|0.5829252|0.58345264,0.005597116|0.0038200358|0.007389076,0.012483244|0.0064443937|0.01637355,0.000121888865|8.314518e-05|0.00016100441,235087.97|336189.97|174106.83
49,2,4569.7646484375,6.2152276039123535,1470.5059814453125,1,0.00010225508594885468,1.0109341144561768,4569.7646|4606.6553,1|1,1|1,0.25321537|0.7467846,0.00046038715|0.00033201507,0.6534384|0.51147306,0.004064985|0.011988483,0.0041641374|0.012376985,5.1762105e-05|0.00015282948,263933.16|125528.09
50,4,4532.67919921875,6.182276725769043,1466.34619140625,1,0.00010254516382701695,1.0163222551345825,4532.679|4546.523|4562.664|4594.0176,1|1|1|1,1|1|0|1,0.7518573|0.07650147|0.0044457745|0.1671955,0.0003724766|0.0022858118|0.0|0.0026144534,0.56018394|1.3481253|-6.0109153|1.4064658,0.009764192|0.0009935064|5.7736215e-05|0.0021713283,0.011194319|0.00706833|0.00040596156|0.017218368,0.0015|0.00013364501|7.77096e-06|0.0002926787,137285.4|194913.89|75208930.0|86050.46
51,3,4586.357421875,7.004467964172363,1309.552001953125,1,0.00011482302215881646,0.8970253467559814,4586.3574|4611.0737|4629.8413,1|1|1,0|1|1,0.00992915|0.16928706|0.8207838,0.0|0.0005935232|6.104101e-05,-6.060029|0.7134088|-0.27440652,0.00020181459|0.003440838|0.016682813,0.00051433453|0.013390109|0.007697631,8.875758e-06|0.00015122|0.00085158384,98779784.0|244229.31|490945.12
52,2,4705.94287109375,6.733940124511719,1397.6788330078125,1,0.00010758316784631461,0.9330621957778931,4705.943|4738.5996,1|1,1|1,0.6439885|0.3560115,0.00017020805|0.00019497846,0.19923604|0.25824255,0.011703405|0.0064699086,0.012819104|0.006980687,0.00011156644|6.162682e-05,250951.3|395999.78
53,3,4878.95751953125,6.8449883460998535,1425.55615234375,1,0.00010547933197813109,0.9179249405860901,4878.9575|4904.3726|4925.2,1|1|1,0|1|0,0.014115137|0.9785078|0.0073770294,0.0|0.00018016883|0.0,-6.0231676|0.23251252|-6.0231676,0.00025212826|0.017478362|0.00013177043,0.00057596475|0.026666384|0.0006686171,5.284826e-06|0.00036984577|2.7593785e-06,96777096.0|158768.95|83976350.0
