工况编号,矩阵类别,裂缝数_n,首缝深度_X1_m,簇间距_D_m,摩阻模型,Brunone系数_k,流体粘度_mPas,顺应系数_Cf_m2,滤失系数_Kleak,波速_a_ms,仿真时长_s,主要研究目的
Case_A_D20_k0.02,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.02,1.0,1e-05,0.0001,1450,100,间距20m下固定k=0.02的波形退化与倒谱峰衰减规律
Case_A_D20_k0.05,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.05,1.0,1e-05,0.0001,1450,100,间距20m下固定k=0.05的波形退化与倒谱峰衰减规律
Case_A_D20_k0.1,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.1,1.0,1e-05,0.0001,1450,100,间距20m下固定k=0.1的波形退化与倒谱峰衰减规律
Case_A_D20_k0.2,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.2,1.0,1e-05,0.0001,1450,100,间距20m下固定k=0.2的波形退化与倒谱峰衰减规律
Case_A_D50_k0.0,Matrix_A_固定k扫描,4,4100,50,Steady_Darcy,0.0,1.0,1e-05,0.0001,1450,100,间距50m下固定k=0.0的波形退化与倒谱峰衰减规律
Case_A_D50_k0.01,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.01,1.0,1e-05,0.0001,1450,100,间距50m下固定k=0.01的波形退化与倒谱峰衰减规律
Case_A_D50_k0.02,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.02,1.0,1e-05,0.0001,1450,100,间距50m下固定k=0.02的波形退化与倒谱峰衰减规律
Case_A_D50_k0.05,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.05,1.0,1e-05,0.0001,1450,100,间距50m下固定k=0.05的波形退化与倒谱峰衰减规律
Case_A_D50_k0.1,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.1,1.0,1e-05,0.0001,1450,100,间距50m下固定k=0.1的波形退化与倒谱峰衰减规律
Case_A_D50_k0.2,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.2,1.0,1e-05,0.0001,1450,100,间距50m下固定k=0.2的波形退化与倒谱峰衰减规律
Case_A_D100_k0.0,Matrix_A_固定k扫描,4,4100,100,Steady_Darcy,0.0,1.0,1e-05,0.0001,1450,100,间距100m下固定k=0.0的波形退化与倒谱峰衰减规律
Case_A_D100_k0.01,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.01,1.0,1e-05,0.0001,1450,100,间距100m下固定k=0.01的波形退化与倒谱峰衰减规律
Case_A_D100_k0.02,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.02,1.0,1e-05,0.0001,1450,100,间距100m下固定k=0.02的波形退化与倒谱峰衰减规律
Case_A_D100_k0.05,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.05,1.0,1e-05,0.0001,1450,100,间距100m下固定k=0.05的波形退化与倒谱峰衰减规律
Case_A_D100_k0.1,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.1,1.0,1e-05,0.0001,1450,100,间距100m下固定k=0.1的波形退化与倒谱峰衰减规律
Case_A_D100_k0.2,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.2,1.0,1e-05,0.0001,1450,100,间距100m下固定k=0.2的波形退化与倒谱峰衰减规律
Case_B_Single_4100_Re,Matrix_B_Re相关动态k,1,4100,0,Brunone_Re_Vardy,Dynamic(Re),1.0,1e-05,0.0001,1450,50,单缝下动态k引起的倒谱系统性深度偏差(10-20m)
Case_B_Single_4100_Steady,Matrix_B_Re相关动态k,1,4100,0,Steady_Darcy,0.0,1.0,1e-05,0.0001,1450,50,稳态单缝对照组(2m容差即成功)
Case_B_Dual_D10_Re,Matrix_B_Re相关动态k,2,4100,10,Brunone_Re_Vardy,Dynamic(Re),1.0,1e-05,0.0001,1450,50,小间距双缝动态k倒谱双峰融合与假峰评估
Case_B_Dual_D20_Re,Matrix_B_Re相关动态k,2,4100,20,Brunone_Re_Vardy,Dynamic(Re),1.0,1e-05,0.0001,1450,50,中等间距双缝动态k倒谱峰模糊与深度偏移
Case_B_Dual_D50_Re,Matrix_B_Re相关动态k,2,4100,50,Brunone_Re_Vardy,Dynamic(Re),1.0,1e-05,0.0001,1450,50,大间距双缝动态k倒谱分辨能力基线
Case_C_Visc_1cp_Slickwater,Matrix_C_流体粘度敏感性,4,4100,20,Brunone_Re_Vardy,Dynamic(Re),1.0,1e-05,0.0001,1450,50,滑溜水(低粘/高Re/弱Brunone)下的倒谱锐度
Case_C_Visc_20cp_LinearGel,Matrix_C_流体粘度敏感性,4,4100,20,Brunone_Re_Vardy,Dynamic(Re),20.0,1e-05,0.0001,1450,50,线性胶(中粘/中Re/中Brunone)下的倒谱退化
Case_C_Visc_100cp_CrosslinkedGel,Matrix_C_流体粘度敏感性,4,4100,20,Brunone_Re_Vardy,Dynamic(Re),100.0,1e-05,0.0001,1450,50,交联冻胶(高粘/低Re/强Brunone)下的倒谱严重模糊
