工况编号,矩阵类别,裂缝数_n,首缝深度_X1_m,簇间距_D_m,摩阻模型,Brunone系数_k,流体粘度_mPas,顺应系数_Cf_m2,滤失系数_Kleak,波速_a_ms,仿真时长_s,主要研究目的
Case_A_D20_k0.0,Matrix_A_固定k扫描,4,4100,20,Steady_Darcy,0.0,1.0,0.00001,0.0001,1450,100,间距20m下稳态基准(Cv=1.00,峰漂移0ms)
Case_A_D20_k0.01,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.01,1.0,0.00001,0.0001,1450,100,间距20m下弱阻尼k=0.01首峰漂移13ms折算9.4m(Cv=1.00可分)
Case_A_D20_k0.02,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.02,1.0,0.00001,0.0001,1450,100,间距20m下k=0.02首峰漂移26ms(Cv=0.97良好可分)
Case_A_D20_k0.05,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.05,1.0,0.00001,0.0001,1450,100,间距20m下趋势上沿k=0.05(Cv=0.14)
Case_A_D20_k0.1,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.1,1.0,0.00001,0.0001,1450,100,间距20m下强阻尼应力测试
Case_A_D20_k0.2,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.2,1.0,0.00001,0.0001,1450,100,间距20m下理论极限应力测试(SI附录,峰漂移277ms)
Case_A_D50_k0.0,Matrix_A_固定k扫描,4,4100,50,Steady_Darcy,0.0,1.0,0.00001,0.0001,1450,100,间距50m下稳态基准
Case_A_D50_k0.01,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.01,1.0,0.00001,0.0001,1450,100,间距50m下弱阻尼k=0.01大间距演化
Case_A_D50_k0.02,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.02,1.0,0.00001,0.0001,1450,100,间距50m下k=0.02演化
Case_A_D50_k0.05,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.05,1.0,0.00001,0.0001,1450,100,间距50m下趋势上沿k=0.05
Case_A_D50_k0.1,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.1,1.0,0.00001,0.0001,1450,100,间距50m下强阻尼应力测试
Case_A_D50_k0.2,Matrix_A_固定k扫描,4,4100,50,Brunone_Constant,0.2,1.0,0.00001,0.0001,1450,100,间距50m下理论极限应力测试(SI附录)
Case_A_D100_k0.0,Matrix_A_固定k扫描,4,4100,100,Steady_Darcy,0.0,1.0,0.00001,0.0001,1450,100,间距100m下稳态基准
Case_A_D100_k0.01,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.01,1.0,0.00001,0.0001,1450,100,间距100m下弱阻尼k=0.01解耦演化
Case_A_D100_k0.02,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.02,1.0,0.00001,0.0001,1450,100,间距100m下k=0.02演化
Case_A_D100_k0.05,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.05,1.0,0.00001,0.0001,1450,100,间距100m下趋势上沿k=0.05
Case_A_D100_k0.1,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.1,1.0,0.00001,0.0001,1450,100,间距100m下强阻尼应力测试
Case_A_D100_k0.2,Matrix_A_固定k扫描,4,4100,100,Brunone_Constant,0.2,1.0,0.00001,0.0001,1450,100,间距100m下理论极限应力测试(SI附录)
Case_B_Single_4100_Re,Matrix_B_动态k与单缝机制,1,4100,0,Brunone_Re_Vardy,Dynamic(Re),1.0,0.00001,0.0001,1450,50,单缝动态k下的倒谱系统性深度偏差(10-20m)与机制核对照
Case_B_Single_4100_Steady,Matrix_B_动态k与单缝机制,1,4100,0,Steady_Darcy,0.0,1.0,0.00001,0.0001,1450,50,稳态单缝对照组(2m容差即成功)
Case_B_Dual_D10_Re,Matrix_B_动态k与单缝机制,2,4100,10,Brunone_Re_Vardy,Dynamic(Re),1.0,0.00001,0.0001,1450,50,小间距双缝动态k双峰干涉与Cv评估
Case_B_Dual_D20_Re,Matrix_B_动态k与单缝机制,2,4100,20,Brunone_Re_Vardy,Dynamic(Re),1.0,0.00001,0.0001,1450,50,中等间距双缝动态k倒谱峰时钟与时延偏移
Case_B_Dual_D50_Re,Matrix_B_动态k与单缝机制,2,4100,50,Brunone_Re_Vardy,Dynamic(Re),1.0,0.00001,0.0001,1450,50,大间距双缝动态k倒谱可分离性基准
Case_C_Visc_1cp_NumExp,Matrix_C_牛顿粘度敏感性,4,4100,20,Brunone_Re_Vardy,Dynamic(Re),1.0,0.00001,0.0001,1450,50,低粘度1cp(高Re/弱阻尼)下的数值敏感性分析
Case_C_Visc_20cp_NumExp,Matrix_C_牛顿粘度敏感性,4,4100,20,Brunone_Re_Vardy,Dynamic(Re),20.0,0.00001,0.0001,1450,50,中粘度20cp(中Re)下的数值敏感性分析
Case_C_Visc_100cp_NumExp,Matrix_C_牛顿粘度敏感性,4,4100,20,Brunone_Re_Vardy,Dynamic(Re),100.0,0.00001,0.0001,1450,50,高粘度100cp(低Re)下的数值敏感性分析(SI附录)
